datetime,symbol,open,high,low,close,volume
2023-05-10 10:30:00,AMEX:SPY,411.91,412.42,410.9,411.39,1323560.0
2023-05-10 11:30:00,AMEX:SPY,411.39,411.5,408.97,409.22,1325863.0
2023-05-10 12:30:00,AMEX:SPY,409.22,411.25,408.87,410.99,1661745.0
2023-05-10 13:30:00,AMEX:SPY,411.01,413.61,411.01,413.19,2341853.0
2023-05-10 14:30:00,AMEX:SPY,413.18,413.79,412.57,412.8,2829082.0
2023-05-11 08:30:00,AMEX:SPY,411.95,412.09,409.97,410.87,3369581.0
2023-05-11 09:30:00,AMEX:SPY,410.89,411.69,410.12,411.44,2184101.0
2023-05-11 10:30:00,AMEX:SPY,411.45,412.25,411.28,411.79,1441777.0
2023-05-11 11:30:00,AMEX:SPY,411.84,412.17,411.27,411.42,821358.0
2023-05-11 12:30:00,AMEX:SPY,411.4,411.87,410.27,411.51,1390626.0
2023-05-11 13:30:00,AMEX:SPY,411.52,412.43,411.41,411.97,1409978.0
2023-05-11 14:30:00,AMEX:SPY,411.97,412.3,411.46,412.17,1821815.0
2023-05-12 08:30:00,AMEX:SPY,413.41,413.63,411.84,411.98,2499541.0
2023-05-12 09:30:00,AMEX:SPY,411.97,412.01,410.75,410.85,1372648.0
2023-05-12 10:30:00,AMEX:SPY,410.84,411.58,410.01,410.08,1356362.0
2023-05-12 11:30:00,AMEX:SPY,410.08,410.7,409.32,410.31,1369734.0
2023-05-12 12:30:00,AMEX:SPY,410.31,410.61,409.07,409.525,1522930.0
2023-05-12 13:30:00,AMEX:SPY,409.52,410.47,409.11,410.39,1581950.0
2023-05-12 14:30:00,AMEX:SPY,410.4,411.67,410.39,411.62,2309074.0
2023-05-15 08:30:00,AMEX:SPY,412.22,412.29,410.23,411.03,1985566.0
2023-05-15 09:30:00,AMEX:SPY,411.015,412.19,410.97,411.98,1478205.0
2023-05-15 10:30:00,AMEX:SPY,411.97,412.21,411.56,411.94,942443.0
2023-05-15 11:30:00,AMEX:SPY,411.94,413.43,411.81,412.31,1417594.0
2023-05-15 12:30:00,AMEX:SPY,412.3,412.67,411.57,412.23,1188816.0
2023-05-15 13:30:00,AMEX:SPY,412.23,412.83,412.14,412.76,911003.0
2023-05-15 14:30:00,AMEX:SPY,412.75,413.03,412.45,413.0,1753087.0
2023-05-16 08:30:00,AMEX:SPY,411.85,412.82,410.7,411.83,2517417.0
2023-05-16 09:30:00,AMEX:SPY,411.815,412.11,410.97,411.93,1375464.0
2023-05-16 10:30:00,AMEX:SPY,411.93,412.06,411.025,411.88,1292779.0
2023-05-16 11:30:00,AMEX:SPY,411.88,412.33,411.47,411.55,1036691.0
2023-05-16 12:30:00,AMEX:SPY,411.58,411.97,411.17,411.29,1114808.0
2023-05-16 13:30:00,AMEX:SPY,411.3,411.85,411.01,411.705,1089137.0
2023-05-16 14:30:00,AMEX:SPY,411.7,411.78,410.25,410.25,1956658.0
2023-05-17 08:30:00,AMEX:SPY,412.35,412.41,410.64,411.73,2060649.0
2023-05-17 09:30:00,AMEX:SPY,411.73,412.83,411.21,412.12,1759264.0
2023-05-17 10:30:00,AMEX:SPY,412.12,412.9,411.93,412.86,1289652.0
2023-05-17 11:30:00,AMEX:SPY,412.88,415.28,412.88,415.22,2734933.0
2023-05-17 12:30:00,AMEX:SPY,415.22,415.855,415.04,415.205,2132195.0
2023-05-17 13:30:00,AMEX:SPY,415.21,415.41,414.45,414.65,2057914.0
2023-05-17 14:30:00,AMEX:SPY,414.65,415.51,414.47,415.24,2791245.0
2023-05-18 08:30:00,AMEX:SPY,414.9,416.9,414.67,416.89,2308739.0
2023-05-18 09:30:00,AMEX:SPY,416.89,417.93,416.58,417.27,2029739.0
2023-05-18 10:30:00,AMEX:SPY,417.31,418.06,415.73,416.16,2228632.0
2023-05-18 11:30:00,AMEX:SPY,416.155,417.21,415.73,416.16,1697553.0
2023-05-18 12:30:00,AMEX:SPY,416.14,416.755,415.4,416.52,1642127.0
2023-05-18 13:30:00,AMEX:SPY,416.575,417.98,416.53,417.79,1784756.0
2023-05-18 14:30:00,AMEX:SPY,417.8,419.67,417.73,419.24,4636296.0
2023-05-19 08:30:00,AMEX:SPY,420.17,420.73,419.8,420.58,2069829.0
2023-05-19 09:30:00,AMEX:SPY,420.55,420.72,418.51,418.52,2801066.0
2023-05-19 10:30:00,AMEX:SPY,418.51,419.18,417.35,418.22,3280070.0
2023-05-19 11:30:00,AMEX:SPY,418.21,419.06,417.5,418.75,1422933.0
2023-05-19 12:30:00,AMEX:SPY,418.77,418.88,417.47,417.87,1409650.0
2023-05-19 13:30:00,AMEX:SPY,417.865,418.72,417.69,418.19,1261843.0
2023-05-19 14:30:00,AMEX:SPY,418.19,418.98,417.99,418.6,2033033.0
2023-05-22 08:30:00,AMEX:SPY,418.64,420.39,417.35,419.14,3125050.0
2023-05-22 09:30:00,AMEX:SPY,419.16,419.4,418.03,419.29,1521670.0
2023-05-22 10:30:00,AMEX:SPY,419.3,419.5,418.68,418.9,1067945.0
2023-05-22 11:30:00,AMEX:SPY,418.9,419.43,418.25,419.07,1316590.0
2023-05-22 12:30:00,AMEX:SPY,419.08,419.71,419.06,419.7,1139909.0
2023-05-22 13:30:00,AMEX:SPY,419.7,420.24,418.76,419.04,1672850.0
2023-05-22 14:30:00,AMEX:SPY,419.05,419.09,418.41,418.78,1748576.0
2023-05-23 08:30:00,AMEX:SPY,417.08,418.13,416.84,417.73,2374733.0
2023-05-23 09:30:00,AMEX:SPY,417.73,418.02,417.15,417.88,1092378.0
2023-05-23 10:30:00,AMEX:SPY,417.89,418.03,417.15,417.23,1284017.0
2023-05-23 11:30:00,AMEX:SPY,417.23,417.34,415.72,415.79,2329142.0
2023-05-23 12:30:00,AMEX:SPY,415.79,416.25,413.68,414.34,2601574.0
2023-05-23 13:30:00,AMEX:SPY,414.35,414.9,413.9,414.74,1758262.0
2023-05-23 14:30:00,AMEX:SPY,414.76,415.07,414.05,414.1,2495205.0
2023-05-24 08:30:00,AMEX:SPY,412.42,412.49,410.3,410.66,2689217.0
2023-05-24 09:30:00,AMEX:SPY,410.66,411.93,410.16,411.21,2308051.0
2023-05-24 10:30:00,AMEX:SPY,411.23,411.37,409.88,410.01,1967013.0
2023-05-24 11:30:00,AMEX:SPY,410.04,410.98,409.89,410.48,1243965.0
2023-05-24 12:30:00,AMEX:SPY,410.46,411.55,410.18,410.3,1550124.0
2023-05-24 13:30:00,AMEX:SPY,410.29,412.32,410.14,412.0,2215752.0
2023-05-24 14:30:00,AMEX:SPY,412.02,412.88,410.74,411.08,3469810.0
2023-05-25 08:30:00,AMEX:SPY,414.74,414.8,412.42,413.13,3056234.0
2023-05-25 09:30:00,AMEX:SPY,413.15,414.63,412.69,413.61,2258620.0
2023-05-25 10:30:00,AMEX:SPY,413.61,414.55,412.59,414.18,2211337.0
2023-05-25 11:30:00,AMEX:SPY,414.18,414.92,413.43,414.68,1325219.0
2023-05-25 12:30:00,AMEX:SPY,414.68,416.15,414.5,415.07,2131718.0
2023-05-25 13:30:00,AMEX:SPY,415.09,415.51,413.83,415.31,1888127.0
2023-05-25 14:30:00,AMEX:SPY,415.29,415.67,414.54,414.62,2798426.0
2023-05-26 08:30:00,AMEX:SPY,415.33,419.19,415.26,419.19,3010356.0
2023-05-26 09:30:00,AMEX:SPY,419.2,419.81,418.27,418.55,2742564.0
2023-05-26 10:30:00,AMEX:SPY,418.55,419.83,418.52,419.81,1567190.0
2023-05-26 11:30:00,AMEX:SPY,419.82,420.03,419.3,419.63,1349974.0
2023-05-26 12:30:00,AMEX:SPY,419.64,419.94,419.05,419.8,1232378.0
2023-05-26 13:30:00,AMEX:SPY,419.81,420.77,419.77,420.17,1854285.0
2023-05-26 14:30:00,AMEX:SPY,420.16,420.49,419.78,419.98,2884928.0
2023-05-30 08:30:00,AMEX:SPY,422.03,422.58,420.2,420.69,3152000.0
2023-05-30 09:30:00,AMEX:SPY,420.69,421.28,419.68,420.45,1615107.0
2023-05-30 10:30:00,AMEX:SPY,420.45,421.02,419.96,420.1,1127972.0
2023-05-30 11:30:00,AMEX:SPY,420.12,420.55,419.29,419.44,1217128.0
2023-05-30 12:30:00,AMEX:SPY,419.42,420.16,418.74,420.045,1490679.0
2023-05-30 13:30:00,AMEX:SPY,420.06,420.975,419.79,420.28,1440964.0
2023-05-30 14:30:00,AMEX:SPY,420.28,420.6,419.62,420.16,2403070.0
2023-05-31 08:30:00,AMEX:SPY,418.29,419.21,416.47,416.87,2770179.0
2023-05-31 09:30:00,AMEX:SPY,416.86,417.21,416.27,416.28,1887446.0
2023-05-31 10:30:00,AMEX:SPY,416.26,417.19,416.23,416.77,1188533.0
2023-05-31 11:30:00,AMEX:SPY,416.78,417.62,416.45,417.62,1108792.0
2023-05-31 12:30:00,AMEX:SPY,417.64,418.72,417.39,418.57,1563595.0
2023-05-31 13:30:00,AMEX:SPY,418.6,418.68,417.58,418.21,1564904.0
2023-05-31 14:30:00,AMEX:SPY,418.21,419.13,417.57,417.83,5887418.0
2023-06-01 08:30:00,AMEX:SPY,418.11,418.75,416.79,418.01,2971125.0
2023-06-01 09:30:00,AMEX:SPY,418.02,420.31,417.87,420.17,2242301.0
2023-06-01 10:30:00,AMEX:SPY,420.19,421.85,420.09,421.74,2086623.0
2023-06-01 11:30:00,AMEX:SPY,421.75,421.94,421.26,421.5,1299040.0
2023-06-01 12:30:00,AMEX:SPY,421.52,422.22,421.31,422.04,1050584.0
